comments,condition,difficulty,id,images,imageset,length,worker,description,image,time
,time,2.0,3R2PKQ87N05QDHIDO4GWW7BFGP6MIK,C,C,3.0,AM0JKZVOEOTMA,A tennis player is standing on the tennis court and people are watching,https://imagecaptioningicl.azurewebsites.net/static/images/000000016308.jpg,49120
,time,2.0,3R2PKQ87N05QDHIDO4GWW7BFGP6MIK,C,C,3.0,AM0JKZVOEOTMA,"Some people, may be attorneys are talking with each other and someone is standing with umbrella",https://imagecaptioningicl.azurewebsites.net/static/images/000000004975.jpg,80295
,time,,3VNL7UK1XJGAGL67WTBNFOTFU5ATF1,A,A,,A34HSCZ1PZCDY0,There are three sports player playing ball in the ground.,https://imagecaptioningicl.azurewebsites.net/static/images/000000008305.jpg,25616
,time,,3VNL7UK1XJGAGL67WTBNFOTFU5ATF1,A,A,,A34HSCZ1PZCDY0,An old kind person feeding to more pigeons.,https://imagecaptioningicl.azurewebsites.net/static/images/000000002142.jpg,45437
,time,,3VNL7UK1XJGAGL67WTBNFOTFU5ATF1,A,A,,A34HSCZ1PZCDY0,Two man riding horses in the ground one horse is black and another is white.,https://imagecaptioningicl.azurewebsites.net/static/images/000000000049.jpg,39331
,time,,3VNL7UK1XJGAGL67WTBNFOTFU5ATF1,A,A,,A34HSCZ1PZCDY0,A couple wearing marriage dress in front of church.,https://imagecaptioningicl.azurewebsites.net/static/images/000000009372.jpg,20087
,time,,3VNL7UK1XJGAGL67WTBNFOTFU5ATF1,A,A,,A34HSCZ1PZCDY0,A tower clock in the wall in the road,https://imagecaptioningicl.azurewebsites.net/static/images/000000003080.jpg,19350
,time,,3VNL7UK1XJGAGL67WTBNFOTFU5ATF1,A,A,,A34HSCZ1PZCDY0,There are many things in the fridge in room,https://imagecaptioningicl.azurewebsites.net/static/images/000000010324.jpg,23543
,time,2.0,3AAJC4I4FKPM7Z12LBRQGAMO88DJZA,D,D,2.0,A1Q0KGPCD263MD,baby with a white teddy bear and around some persons,https://imagecaptioningicl.azurewebsites.net/static/images/000000006579.jpg,47904
,time,2.0,3AAJC4I4FKPM7Z12LBRQGAMO88DJZA,D,D,2.0,A1Q0KGPCD263MD,one girl on the ground others are playing,https://imagecaptioningicl.azurewebsites.net/static/images/000000006780.jpg,51357
,time,2.0,3AAJC4I4FKPM7Z12LBRQGAMO88DJZA,D,D,2.0,A1Q0KGPCD263MD,a man keeping a yellow thing on his hand and wearing glass,https://imagecaptioningicl.azurewebsites.net/static/images/000000007069.jpg,37215
,time,2.0,3AAJC4I4FKPM7Z12LBRQGAMO88DJZA,D,D,2.0,A1Q0KGPCD263MD,a tennis player with a tennis ball and bat in the court ,https://imagecaptioningicl.azurewebsites.net/static/images/000000011567.jpg,51655
,time,2.0,3AAJC4I4FKPM7Z12LBRQGAMO88DJZA,D,D,2.0,A1Q0KGPCD263MD,multi coloured bicycle is parked under the big thing,https://imagecaptioningicl.azurewebsites.net/static/images/000000018766.jpg,33678
,time,2.0,3AAJC4I4FKPM7Z12LBRQGAMO88DJZA,D,D,2.0,A1Q0KGPCD263MD,a yellow engine in the ground and some plants around that,https://imagecaptioningicl.azurewebsites.net/static/images/000000005755.jpg,33911
,control,2.0,3SLE99ER0RAGPG3QXJE9IM3B034BZH,C,C,2.0,A38DC3BG1ZCVZ2,Four men hold the ropes to a cow that is standing.,https://imagecaptioningicl.azurewebsites.net/static/images/000000002415.jpg,34544
,control,2.0,3SLE99ER0RAGPG3QXJE9IM3B034BZH,C,C,2.0,A38DC3BG1ZCVZ2,"A bunch of people are on a double decker bus that has a pride flag on the side, while people watch them on the street.",https://imagecaptioningicl.azurewebsites.net/static/images/000000011494.jpg,25244
,control,2.0,3SLE99ER0RAGPG3QXJE9IM3B034BZH,C,C,2.0,A38DC3BG1ZCVZ2,A red motorcycle sits on the side of a road at the White Mountain National Forest.,https://imagecaptioningicl.azurewebsites.net/static/images/000000005213.jpg,31821
,control,2.0,3SLE99ER0RAGPG3QXJE9IM3B034BZH,C,C,2.0,A38DC3BG1ZCVZ2,An old fashioned pillar with a clock on it sits on the sidewalk.,https://imagecaptioningicl.azurewebsites.net/static/images/000000009172.jpg,36352
,control,2.0,3SLE99ER0RAGPG3QXJE9IM3B034BZH,C,C,2.0,A38DC3BG1ZCVZ2,A woman holds a tennis racket in front of a large crowd on a grass court.,https://imagecaptioningicl.azurewebsites.net/static/images/000000016308.jpg,11947
,control,2.0,3SLE99ER0RAGPG3QXJE9IM3B034BZH,C,C,2.0,A38DC3BG1ZCVZ2,A woman under an umbrella in a robe smiles next to other people in robes.,https://imagecaptioningicl.azurewebsites.net/static/images/000000004975.jpg,29370
,time,3.0,30BUDKLTXHSGP5VL0M9JUQ2121A5E5,A,A,3.0,AVFHRN0S32V2H,Three men in pink uniforms are holding a ball in a gym.,https://imagecaptioningicl.azurewebsites.net/static/images/000000008305.jpg,40105
,time,3.0,30BUDKLTXHSGP5VL0M9JUQ2121A5E5,A,A,3.0,AVFHRN0S32V2H,A man sitting on a park bench with dozens of pigeons all around him.,https://imagecaptioningicl.azurewebsites.net/static/images/000000002142.jpg,44603
,time,3.0,30BUDKLTXHSGP5VL0M9JUQ2121A5E5,A,A,3.0,AVFHRN0S32V2H,One black horse and one white horse are standing on their two hind legs with riders on their backs.,https://imagecaptioningicl.azurewebsites.net/static/images/000000000049.jpg,36763
,time,3.0,30BUDKLTXHSGP5VL0M9JUQ2121A5E5,A,A,3.0,AVFHRN0S32V2H,An Asian bride and groom are walking out of a building in the middle of cheering guests.,https://imagecaptioningicl.azurewebsites.net/static/images/000000009372.jpg,32398
,time,3.0,30BUDKLTXHSGP5VL0M9JUQ2121A5E5,A,A,3.0,AVFHRN0S32V2H,A large clock on a small tower is seen in front of a glass office building.,https://imagecaptioningicl.azurewebsites.net/static/images/000000003080.jpg,26795
,time,3.0,30BUDKLTXHSGP5VL0M9JUQ2121A5E5,A,A,3.0,AVFHRN0S32V2H,The right side of a refrigerator is open with all of its contents visible.,https://imagecaptioningicl.azurewebsites.net/static/images/000000010324.jpg,48272
,control,3.0,36DSNE9QZ9VA8VNVJ2G90CFKO4AOJD,C,C,4.0,A34HSCZ1PZCDY0,There are six persons pulling the ox in the grass,https://imagecaptioningicl.azurewebsites.net/static/images/000000002415.jpg,29155
,control,3.0,36DSNE9QZ9VA8VNVJ2G90CFKO4AOJD,C,C,4.0,A34HSCZ1PZCDY0,many persons going very happily in the bus,https://imagecaptioningicl.azurewebsites.net/static/images/000000011494.jpg,29105
,control,3.0,36DSNE9QZ9VA8VNVJ2G90CFKO4AOJD,C,C,4.0,A34HSCZ1PZCDY0,In the blank road and near green trees a bike standing there.,https://imagecaptioningicl.azurewebsites.net/static/images/000000005213.jpg,28895
,control,3.0,36DSNE9QZ9VA8VNVJ2G90CFKO4AOJD,C,C,4.0,A34HSCZ1PZCDY0,Clock tower and lamp standing there in the road.,https://imagecaptioningicl.azurewebsites.net/static/images/000000009172.jpg,29038
,control,3.0,36DSNE9QZ9VA8VNVJ2G90CFKO4AOJD,C,C,4.0,A34HSCZ1PZCDY0,A lady playing tennis in the ground infront of spectators.,https://imagecaptioningicl.azurewebsites.net/static/images/000000016308.jpg,30086
,control,3.0,36DSNE9QZ9VA8VNVJ2G90CFKO4AOJD,C,C,4.0,A34HSCZ1PZCDY0,two ladies holding umbrella with graduation coat talking with some gents,https://imagecaptioningicl.azurewebsites.net/static/images/000000004975.jpg,51967
,time,3.0,3GLB5JMZF1S9DW65LNHQS5B5SYNDG2,C,C,3.0,A2SWQM5X54P1O5,A crowd tries to lasso a baby buffalo.,https://imagecaptioningicl.azurewebsites.net/static/images/000000002415.jpg,41782
,time,3.0,3GLB5JMZF1S9DW65LNHQS5B5SYNDG2,C,C,3.0,A2SWQM5X54P1O5,A red double decker bus with lots of people on it display a huge gay pride flag. ,https://imagecaptioningicl.azurewebsites.net/static/images/000000011494.jpg,44871
,time,3.0,3GLB5JMZF1S9DW65LNHQS5B5SYNDG2,C,C,3.0,A2SWQM5X54P1O5,A motorcycle without a driver is parked on an empty country road and on the right side is lots of vegetation and trees. ,https://imagecaptioningicl.azurewebsites.net/static/images/000000005213.jpg,60343
,time,3.0,3GLB5JMZF1S9DW65LNHQS5B5SYNDG2,C,C,3.0,A2SWQM5X54P1O5,"The setting close to an old highway overpass, with an old clock on the left side. ",https://imagecaptioningicl.azurewebsites.net/static/images/000000009172.jpg,67181
,time,3.0,3GLB5JMZF1S9DW65LNHQS5B5SYNDG2,C,C,3.0,A2SWQM5X54P1O5,"Serena Williams is on the tennis court, with onlookers in the stands right behind her. ",https://imagecaptioningicl.azurewebsites.net/static/images/000000016308.jpg,32822
,time,3.0,3GLB5JMZF1S9DW65LNHQS5B5SYNDG2,C,C,3.0,A2SWQM5X54P1O5,"A group of elderly and middle aged university faculty members are gathered together in cap and gown, in a graduation ceremony. ",https://imagecaptioningicl.azurewebsites.net/static/images/000000004975.jpg,54270
,control,1.0,3AQF3RZ55CF4ENVV0G3U4E11AX06F4,D,D,1.0,A13V6ZYVF3A7EW,A woman in uniform comforts a crying baby.,https://imagecaptioningicl.azurewebsites.net/static/images/000000006579.jpg,66241
,control,1.0,3AQF3RZ55CF4ENVV0G3U4E11AX06F4,D,D,1.0,A13V6ZYVF3A7EW,The teens are playing sports in a huge open field.,https://imagecaptioningicl.azurewebsites.net/static/images/000000006780.jpg,78914
,control,1.0,3AQF3RZ55CF4ENVV0G3U4E11AX06F4,D,D,1.0,A13V6ZYVF3A7EW,"The man stands in front of a ""12"" sign smiling and holding a frisbee",https://imagecaptioningicl.azurewebsites.net/static/images/000000007069.jpg,47372
,control,1.0,3AQF3RZ55CF4ENVV0G3U4E11AX06F4,D,D,1.0,A13V6ZYVF3A7EW,The tennis playing man makes a jarring face,https://imagecaptioningicl.azurewebsites.net/static/images/000000011567.jpg,33271
,control,1.0,3AQF3RZ55CF4ENVV0G3U4E11AX06F4,D,D,1.0,A13V6ZYVF3A7EW,The bike sits under a statue while it rains outside,https://imagecaptioningicl.azurewebsites.net/static/images/000000018766.jpg,31130
,control,1.0,3AQF3RZ55CF4ENVV0G3U4E11AX06F4,D,D,1.0,A13V6ZYVF3A7EW,A rite aid cart is parked right next to the fire hydrant.,https://imagecaptioningicl.azurewebsites.net/static/images/000000005755.jpg,21420
,comprehensive,1.0,3RRCEFRB7Q90MJF1CQOJOQQ2Z824BZ,A,A,1.0,ACSS93E03ZUGX,Three men wearing pink shirts and shorts are standing in a gym holding volleyballs.,https://imagecaptioningicl.azurewebsites.net/static/images/000000008305.jpg,21276
,comprehensive,1.0,3RRCEFRB7Q90MJF1CQOJOQQ2Z824BZ,A,A,1.0,ACSS93E03ZUGX,A man is sitting on a park bench surrounded by several pigeons.,https://imagecaptioningicl.azurewebsites.net/static/images/000000002142.jpg,12813
,comprehensive,1.0,3RRCEFRB7Q90MJF1CQOJOQQ2Z824BZ,A,A,1.0,ACSS93E03ZUGX,Two men are on the back of a white and black horse that have their front hooves up in the air.,https://imagecaptioningicl.azurewebsites.net/static/images/000000000049.jpg,21560
,comprehensive,1.0,3RRCEFRB7Q90MJF1CQOJOQQ2Z824BZ,A,A,1.0,ACSS93E03ZUGX,A bride and groom wearing all white are exiting a building while several people look on.,https://imagecaptioningicl.azurewebsites.net/static/images/000000009372.jpg,14278
,comprehensive,1.0,3RRCEFRB7Q90MJF1CQOJOQQ2Z824BZ,A,A,1.0,ACSS93E03ZUGX,The front of a building is shown with 2 large clocks on it.,https://imagecaptioningicl.azurewebsites.net/static/images/000000003080.jpg,14206
,comprehensive,1.0,3RRCEFRB7Q90MJF1CQOJOQQ2Z824BZ,A,A,1.0,ACSS93E03ZUGX,A side by side refrigerator is shown with the left side door open.,https://imagecaptioningicl.azurewebsites.net/static/images/000000010324.jpg,12592
,essential,2.0,3WYP994K1BOAEECQ56VITZ8HG8PY6S,D,D,2.0,A38DC3BG1ZCVZ2,A little boy holding a teddy bear looks frightened as he is looking at a woman in an army uniform.,https://imagecaptioningicl.azurewebsites.net/static/images/000000006579.jpg,18020
,essential,2.0,3WYP994K1BOAEECQ56VITZ8HG8PY6S,D,D,2.0,A38DC3BG1ZCVZ2,A woman is lying on the floor with a frisbee as other players run up to her.,https://imagecaptioningicl.azurewebsites.net/static/images/000000006780.jpg,22130
,essential,2.0,3WYP994K1BOAEECQ56VITZ8HG8PY6S,D,D,2.0,A38DC3BG1ZCVZ2,A man holds a frisbee in front of a disc golf marker.,https://imagecaptioningicl.azurewebsites.net/static/images/000000007069.jpg,11618
,essential,2.0,3WYP994K1BOAEECQ56VITZ8HG8PY6S,D,D,2.0,A38DC3BG1ZCVZ2,A tennis player makes a funny face as he stands on the court holding a racket and a ball.,https://imagecaptioningicl.azurewebsites.net/static/images/000000011567.jpg,13895
,essential,2.0,3WYP994K1BOAEECQ56VITZ8HG8PY6S,D,D,2.0,A38DC3BG1ZCVZ2,A closed umbrella is attached to a bicycle under a fountain.,https://imagecaptioningicl.azurewebsites.net/static/images/000000018766.jpg,56858
,essential,2.0,3WYP994K1BOAEECQ56VITZ8HG8PY6S,D,D,2.0,A38DC3BG1ZCVZ2,A yellow hydrant sits on a patch of grass on the sidewalk near a shopping cart.,https://imagecaptioningicl.azurewebsites.net/static/images/000000005755.jpg,19369
,control,1.0,3M0BCWMB8ZTCVLYLMWU2JI9TJ11WBD,B,B,2.0,A1Q0KGPCD263MD,boy sitting in the sofa and playing video games and a man sitting nearby,https://imagecaptioningicl.azurewebsites.net/static/images/000000011034.jpg,84297
,control,1.0,3M0BCWMB8ZTCVLYLMWU2JI9TJ11WBD,B,B,2.0,A1Q0KGPCD263MD,A man with two big dogs sitting at the park,https://imagecaptioningicl.azurewebsites.net/static/images/000000002400.jpg,30423
,control,1.0,3M0BCWMB8ZTCVLYLMWU2JI9TJ11WBD,B,B,2.0,A1Q0KGPCD263MD,bicycle riders crossing the road very carefully and a car closeby,https://imagecaptioningicl.azurewebsites.net/static/images/000000001053.jpg,35166
,control,1.0,3M0BCWMB8ZTCVLYLMWU2JI9TJ11WBD,B,B,2.0,A1Q0KGPCD263MD,a woman riding on a horse and a man on a motor bike watching this riding,https://imagecaptioningicl.azurewebsites.net/static/images/000000007524.jpg,56575
,control,1.0,3M0BCWMB8ZTCVLYLMWU2JI9TJ11WBD,B,B,2.0,A1Q0KGPCD263MD,A pot is painted very beautifully and very naturally and some people inside the room,https://imagecaptioningicl.azurewebsites.net/static/images/000000003325.jpg,44021
,control,1.0,3M0BCWMB8ZTCVLYLMWU2JI9TJ11WBD,B,B,2.0,A1Q0KGPCD263MD,a red and black colour small car filling fuel at the bulk ,https://imagecaptioningicl.azurewebsites.net/static/images/000000012109.jpg,28777
,essential,2.0,323Q6SJS8MDKBCFCWZUY15QRJBGFHE,C,C,2.0,A1FP3SH704X01V,A bull with a rope tied around its horn being tugged on by men. ,https://imagecaptioningicl.azurewebsites.net/static/images/000000002415.jpg,24904
,essential,2.0,323Q6SJS8MDKBCFCWZUY15QRJBGFHE,C,C,2.0,A1FP3SH704X01V,A group of elderly people riding on a bus with a pride flag.,https://imagecaptioningicl.azurewebsites.net/static/images/000000011494.jpg,13039
,essential,2.0,323Q6SJS8MDKBCFCWZUY15QRJBGFHE,C,C,2.0,A1FP3SH704X01V,A motorcycle pulled over by a national forest sign.,https://imagecaptioningicl.azurewebsites.net/static/images/000000005213.jpg,13896
,essential,2.0,323Q6SJS8MDKBCFCWZUY15QRJBGFHE,C,C,2.0,A1FP3SH704X01V,A clock sitting in front of an bridge. ,https://imagecaptioningicl.azurewebsites.net/static/images/000000009172.jpg,19640
,essential,2.0,323Q6SJS8MDKBCFCWZUY15QRJBGFHE,C,C,2.0,A1FP3SH704X01V,A woman playing tennis in a professional aspect. ,https://imagecaptioningicl.azurewebsites.net/static/images/000000016308.jpg,22643
,essential,2.0,323Q6SJS8MDKBCFCWZUY15QRJBGFHE,C,C,2.0,A1FP3SH704X01V,A women smiling holding an umbrella at a graduation. ,https://imagecaptioningicl.azurewebsites.net/static/images/000000004975.jpg,20915
,essential,3.0,3M23Y66PO64DIS0H603TBDKGZNUS69,C,C,2.0,AVFHRN0S32V2H,A group of men are controlling a cow with green rope.,https://imagecaptioningicl.azurewebsites.net/static/images/000000002415.jpg,36945
,essential,3.0,3M23Y66PO64DIS0H603TBDKGZNUS69,C,C,2.0,AVFHRN0S32V2H,A double decker bus with people on top and a rainbow flag on its side is in a parade.,https://imagecaptioningicl.azurewebsites.net/static/images/000000011494.jpg,47642
,essential,3.0,3M23Y66PO64DIS0H603TBDKGZNUS69,C,C,2.0,AVFHRN0S32V2H,A red and black motorcycle is parked on the side of the road in front of a White Mountain National Forest sign.,https://imagecaptioningicl.azurewebsites.net/static/images/000000005213.jpg,26301
,essential,3.0,3M23Y66PO64DIS0H603TBDKGZNUS69,C,C,2.0,AVFHRN0S32V2H,A clock on a pole is seen in front of a bridge.,https://imagecaptioningicl.azurewebsites.net/static/images/000000009172.jpg,35177
,essential,3.0,3M23Y66PO64DIS0H603TBDKGZNUS69,C,C,2.0,AVFHRN0S32V2H,Serena Williams in a white tennis outfit is holding a racket by her side in the middle of tennis court.,https://imagecaptioningicl.azurewebsites.net/static/images/000000016308.jpg,24692
,essential,3.0,3M23Y66PO64DIS0H603TBDKGZNUS69,C,C,2.0,AVFHRN0S32V2H,A graduation ceremony where people are in full cap and gown.,https://imagecaptioningicl.azurewebsites.net/static/images/000000004975.jpg,55393
,control,1.0,3OF2M9AATKLHIJ7K3WR2HPM1NXEZKQ,B,B,1.0,A9MYC5IGQ2DO4,a father and his child playing video games,https://imagecaptioningicl.azurewebsites.net/static/images/000000011034.jpg,103912
,control,1.0,3OF2M9AATKLHIJ7K3WR2HPM1NXEZKQ,B,B,1.0,A9MYC5IGQ2DO4,a man photography with dogs in the nature,https://imagecaptioningicl.azurewebsites.net/static/images/000000002400.jpg,29460
,control,1.0,3OF2M9AATKLHIJ7K3WR2HPM1NXEZKQ,B,B,1.0,A9MYC5IGQ2DO4,a cycling boys playing in road in the morning,https://imagecaptioningicl.azurewebsites.net/static/images/000000001053.jpg,39160
,control,1.0,3OF2M9AATKLHIJ7K3WR2HPM1NXEZKQ,B,B,1.0,A9MYC5IGQ2DO4,a girl horse raid on the road in public,https://imagecaptioningicl.azurewebsites.net/static/images/000000007524.jpg,158173
,control,1.0,3OF2M9AATKLHIJ7K3WR2HPM1NXEZKQ,B,B,1.0,A9MYC5IGQ2DO4,a big jar showing people in museum in the city,https://imagecaptioningicl.azurewebsites.net/static/images/000000003325.jpg,35012
,control,1.0,3OF2M9AATKLHIJ7K3WR2HPM1NXEZKQ,B,B,1.0,A9MYC5IGQ2DO4,a nano car in the road on people showing,https://imagecaptioningicl.azurewebsites.net/static/images/000000012109.jpg,24073
,control,1.0,3E337GFOLD5IZ8XIAHVTOANZ62PNGU,B,B,1.0,ACSS93E03ZUGX,A young boy and a man are sitting on a blue couch holding video game controllers.,https://imagecaptioningicl.azurewebsites.net/static/images/000000011034.jpg,17826
,control,1.0,3E337GFOLD5IZ8XIAHVTOANZ62PNGU,B,B,1.0,ACSS93E03ZUGX,A man is sitting on a park bench while 2 dogs sit nearby.,https://imagecaptioningicl.azurewebsites.net/static/images/000000002400.jpg,11916
,control,1.0,3E337GFOLD5IZ8XIAHVTOANZ62PNGU,B,B,1.0,ACSS93E03ZUGX,Five men on bikes are crossing a street in front of a silver car.,https://imagecaptioningicl.azurewebsites.net/static/images/000000001053.jpg,12495
,control,1.0,3E337GFOLD5IZ8XIAHVTOANZ62PNGU,B,B,1.0,ACSS93E03ZUGX,A police officer is sitting on a horse while talking with a police officer sitting on a motorcycle.,https://imagecaptioningicl.azurewebsites.net/static/images/000000007524.jpg,20304
,control,1.0,3E337GFOLD5IZ8XIAHVTOANZ62PNGU,B,B,1.0,ACSS93E03ZUGX,A brown vace is shown behind a glass case with people in the background.,https://imagecaptioningicl.azurewebsites.net/static/images/000000003325.jpg,14661
,control,1.0,3E337GFOLD5IZ8XIAHVTOANZ62PNGU,B,B,1.0,ACSS93E03ZUGX,A black and red mini car is parked in front of a parking meter.,https://imagecaptioningicl.azurewebsites.net/static/images/000000012109.jpg,12744
,control,3.0,3PJUZCGDJADIHRN6Q900EWBHDUW982,D,D,2.0,AVFHRN0S32V2H,A child with a terrified look on his face is holding stuffed animals in front of a soldier.,https://imagecaptioningicl.azurewebsites.net/static/images/000000006579.jpg,29137
,control,3.0,3PJUZCGDJADIHRN6Q900EWBHDUW982,D,D,2.0,AVFHRN0S32V2H,A young woman is on the ground holding a white frisbee in the middle of an ultimate frisbee game.,https://imagecaptioningicl.azurewebsites.net/static/images/000000006780.jpg,40724
,control,3.0,3PJUZCGDJADIHRN6Q900EWBHDUW982,D,D,2.0,AVFHRN0S32V2H,A man is outdoors holding a yellow frisbee while standing in front of a sign on a wooden post.,https://imagecaptioningicl.azurewebsites.net/static/images/000000007069.jpg,32422
,control,3.0,3PJUZCGDJADIHRN6Q900EWBHDUW982,D,D,2.0,AVFHRN0S32V2H,A man with an incredulous look on his face is standing on a tennis court holding a ball in one hand and a racket in the other.,https://imagecaptioningicl.azurewebsites.net/static/images/000000011567.jpg,34531
,control,3.0,3PJUZCGDJADIHRN6Q900EWBHDUW982,D,D,2.0,AVFHRN0S32V2H,The top portion of a bicycle is seen in front of a water fountain.,https://imagecaptioningicl.azurewebsites.net/static/images/000000018766.jpg,33515
,control,3.0,3PJUZCGDJADIHRN6Q900EWBHDUW982,D,D,2.0,AVFHRN0S32V2H,A blue Rite Aid shopping cart is parked on the curb behind a yellow fire hydrant.,https://imagecaptioningicl.azurewebsites.net/static/images/000000005755.jpg,45415
,time,1.0,3QFUFYSY92CQZ0RHHSAF7GHNE6V4FI,B,B,1.0,A1FP3SH704X01V,A man sitting down and playing games with a boy sitting down.,https://imagecaptioningicl.azurewebsites.net/static/images/000000011034.jpg,21172
,time,1.0,3QFUFYSY92CQZ0RHHSAF7GHNE6V4FI,B,B,1.0,A1FP3SH704X01V,A man sitting on a park bench with his dogs.,https://imagecaptioningicl.azurewebsites.net/static/images/000000002400.jpg,11019
,time,1.0,3QFUFYSY92CQZ0RHHSAF7GHNE6V4FI,B,B,1.0,A1FP3SH704X01V,People riding bikes around in a parking lot .,https://imagecaptioningicl.azurewebsites.net/static/images/000000001053.jpg,19297
,time,1.0,3QFUFYSY92CQZ0RHHSAF7GHNE6V4FI,B,B,1.0,A1FP3SH704X01V,A police officer stopped in front of a horse and its rider.,https://imagecaptioningicl.azurewebsites.net/static/images/000000007524.jpg,15483
,time,1.0,3QFUFYSY92CQZ0RHHSAF7GHNE6V4FI,B,B,1.0,A1FP3SH704X01V,A vase from what looks like ancient Greece.,https://imagecaptioningicl.azurewebsites.net/static/images/000000003325.jpg,21275
,time,1.0,3QFUFYSY92CQZ0RHHSAF7GHNE6V4FI,B,B,1.0,A1FP3SH704X01V,A smart car sitting at a charging station.,https://imagecaptioningicl.azurewebsites.net/static/images/000000012109.jpg,15048
,essential,3.0,3N1FSUEFL9XT1GDLQMFPJGE22TF4D7,A,A,3.0,A2SWQM5X54P1O5,A group of male volleyball players in pink uniform look to the right. ,https://imagecaptioningicl.azurewebsites.net/static/images/000000008305.jpg,46389
,essential,3.0,3N1FSUEFL9XT1GDLQMFPJGE22TF4D7,A,A,3.0,A2SWQM5X54P1O5,An elderly Asian man with a baseball cap sits on a park bench. He is feeding a large group of pigeons. ,https://imagecaptioningicl.azurewebsites.net/static/images/000000002142.jpg,64917
,essential,3.0,3N1FSUEFL9XT1GDLQMFPJGE22TF4D7,A,A,3.0,A2SWQM5X54P1O5,Two people in costume attire each have a horse and they are posing for the camera.,https://imagecaptioningicl.azurewebsites.net/static/images/000000000049.jpg,74289
,essential,3.0,3N1FSUEFL9XT1GDLQMFPJGE22TF4D7,A,A,3.0,A2SWQM5X54P1O5,An Asian bride and groom walk down the steps of a building with wedding guest cheering them on. ,https://imagecaptioningicl.azurewebsites.net/static/images/000000009372.jpg,37829
,essential,3.0,3N1FSUEFL9XT1GDLQMFPJGE22TF4D7,A,A,3.0,A2SWQM5X54P1O5,An office building has a structure that looks like a clock in front of it. ,https://imagecaptioningicl.azurewebsites.net/static/images/000000003080.jpg,48323
,essential,3.0,3N1FSUEFL9XT1GDLQMFPJGE22TF4D7,A,A,3.0,A2SWQM5X54P1O5,"A refrigerator door full of food is open, revealing a puppy and its bed on top of the vegetable crisper. The puppy is looking at the camera.",https://imagecaptioningicl.azurewebsites.net/static/images/000000010324.jpg,52649
,time,2.0,3WMOAN2SRFU1H5NDZCUFOBQ9THDNVJ,D,D,1.0,ACSS93E03ZUGX,A woman is handing a small child a white teddy bear.,https://imagecaptioningicl.azurewebsites.net/static/images/000000006579.jpg,50071
,time,2.0,3WMOAN2SRFU1H5NDZCUFOBQ9THDNVJ,D,D,1.0,ACSS93E03ZUGX,Several girls are on a grassy field while one girl is on her back.,https://imagecaptioningicl.azurewebsites.net/static/images/000000006780.jpg,17835
,time,2.0,3WMOAN2SRFU1H5NDZCUFOBQ9THDNVJ,D,D,1.0,ACSS93E03ZUGX,A man is standing in front of a phone booth holding a green frisbee.,https://imagecaptioningicl.azurewebsites.net/static/images/000000007069.jpg,13711
